TIPO;COD_SAP_MATERIAL;MATERIAL;NOME_COMERCIAL;SALDO;FABRICANTE;STATUS_PORTFOLIO;CHIP_COMPATIVEL;TECNOLOGIA;CD;PREVISAO_W1;PREVISAO_W2;PREVISAO_W3;PREVISAO_W4;PREVISAO_W5;VALORATE10X;VALORATE24X;SEGMENTO;TIPO_MATERIAL
Smartphone;DGAP20362000;APPLE IPHONE 15 256GB N PT;SmartPhone Apple Iphone 15 256GB - 5G;8;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;4960;5760;PREÇO UNIFICADO;Aparelho
;DGAP20362000;APPLE IPHONE 15 256GB N PT;SmartPhone Apple Iphone 15 256GB - 5G;575;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;4960;5760;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP20362000;APPLE IPHONE 15 256GB N PT;SmartPhone Apple Iphone 15 256GB - 5G;575;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;4960;5760;PREÇO UNIFICADO;Aparelho
;DGAP22722000;APPLE IPHONE 16 256GB N BR;SmartPhone Apple Iphone 16 256GB - 5G;236;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;5800;6720;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP22722000;APPLE IPHONE 16 256GB N BR;SmartPhone Apple Iphone 16 256GB - 5G;236;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;5800;6720;PREÇO UNIFICADO;Aparelho
;DGAP22722000;APPLE IPHONE 16 256GB N BR;SmartPhone Apple Iphone 16 256GB - 5G;1802;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;5800;6720;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP22722000;APPLE IPHONE 16 256GB N BR;SmartPhone Apple Iphone 16 256GB - 5G;1802;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;5800;6720;PREÇO UNIFICADO;Aparelho
;DGAP22762000;APPLE IPHONE 16 256GB N PT;SmartPhone Apple Iphone 16 256GB - 5G;1816;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;5800;6720;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP22762000;APPLE IPHONE 16 256GB N PT;SmartPhone Apple Iphone 16 256GB - 5G;1816;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;5800;6720;PREÇO UNIFICADO;Aparelho
;DGAP22762000;APPLE IPHONE 16 256GB N PT;SmartPhone Apple Iphone 16 256GB - 5G;2454;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;5800;6720;PREÇO UNIFICADO;Aparelho
